"full_date","speechtitle","hyperlink","name","position_cat1","type"
1998-09-29,"Electronic banking","http://www.federalreserve.gov/boarddocs/speeches/1998/19980929.htm","Roger W. Ferguson","1","Public"
1998-10-01,"Private-sector refinancing of the large hedge fund, Long-Term Capital Management","http://www.federalreserve.gov/boarddocs/testimony/1998/19981001.htm","Alan Greenspan","Chairman","House"
1998-10-01,"Private-sector refinancing of the large hedge fund, Long-Term Capital Management","http://www.newyorkfed.org/newsevents/speeches/1998/mcd981001.html","William J. McDonough","President","House"
1998-10-05,"The economic outlook and the challenges facing monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1998/19981005.htm","Laurence H. Meyer","1","Public"
1998-10-08,"Overall impact of euro banknotes on the demand for U.S. currency","http://www.federalreserve.gov/boarddocs/testimony/1998/19981008.htm","Theodore E. Allison","Assistant to the Board for Federal Reserve System Affairs","House"
1998-10-14,"The role for small businesses as viewed by a macroeconomic policymaker","http://www.federalreserve.gov/boarddocs/speeches/1998/19981014.htm","Roger W. Ferguson","1","Public"
1998-10-16,"The challenge of preparing for the Year 2000","http://www.federalreserve.gov/boarddocs/speeches/1998/19981016.htm","Roger W. Ferguson","1","Public"
1998-10-22,"Increasing global financial integrity","http://www.federalreserve.gov/boarddocs/speeches/1998/199810222.htm","Laurence H. Meyer","1","Public"
1998-10-22,"The world economy","http://www.federalreserve.gov/boarddocs/speeches/1998/199810223.htm","Alice M. Rivlin","2","Public"
1998-10-22,"The world economy","http://www.federalreserve.gov/boarddocs/speeches/1998/199810223.htm","Alice M. Rivlin","2","Public"
1998-10-22,"Three themes in search of an audience","http://www.federalreserve.gov/boarddocs/speeches/1998/19981022.htm","Roger W. Ferguson","1","Public"
1998-10-27,"The future of the financial services sector and related public policy issues","http://www.federalreserve.gov/boarddocs/speeches/1998/19981027.htm","Roger W. Ferguson","1","Public"
1998-10-29,"Countdown to Y2K: An economic assessment ","http://www.federalreserve.gov/boarddocs/speeches/1998/19981029.htm","Edward W. Kelley","1","Public"
